"date","aqi","pm2.5","pm10","so2","co","no2","o3"
"2014-12-06","83","58.2","90.7","33.2","1.765","68.8","43"
"2014-12-07","75","49.1","77.1","27.3","1.463","48.2","55"
"2014-12-08","78","55.5","80.3","29.5","1.289","59.8","41"
"2014-12-09","267","216.6","280","65","4.8","108.3","7"
"2014-12-10","186","127.3","216.1","27.5","2.516","61.3","64"
"2014-12-11","40","19.8","38.3","15.1","0.571","31.7","60"
"2014-12-12","41","11","40.9","7.9","0.433","21.8","56"
"2014-12-13","68","42.2","79.5","23.7","1.117","48.8","44"
"2014-12-14","110","81.8","123","42.8","2.07","74.9","34"
"2014-12-15","109","63.9","116.9","26.6","1.483","44.3","65"
"2014-12-16","34","6.8","29.8","5.9","0.337","13.9","57"
"2014-12-17","95","67.2","111.2","32.5","1.56","62.7","50"
"2014-12-18","186","142.7","193.7","79","3.876","93.2","13"
"2014-12-19","57","31.4","54.2","14.4","0.962","33","65"
"2014-12-20","22","8.6","17","10","0.476","23.8","53"
"2014-12-21","39","15.2","36.3","13.3","0.607","29.8","51"
"2014-12-22","94","69.3","114","39.5","2.084","73.6","41"
"2014-12-23","99","73","110.3","48.6","2.434","76.7","33"
"2014-12-24","32","12","30.7","16.6","0.504","32.3","64"
"2014-12-25","43","27","43.4","22.3","1.002","53.2","66"
"2014-12-26","152","114.7","154.8","58.4","3.009","91.6","12"
"2014-12-27","239","189.7","235.7","70.3","4.137","124.6","12"
"2014-12-28","161","120.7","186.1","51","2.774","91.3","66"
"2014-12-29","134","96.1","165.4","41.4","2.759","83.4","61"
"2014-12-30","53","24.2","60.5","21.7","1.035","50.7","63"
"2014-12-31","44","5.8","46","6.5","0.31","12.1","60"
"2015-01-01","61","41","66.8","23.8","1.09","49.9","51"
"2015-01-02","72","50.6","80.3","31.4","1.333","60","50"
"2015-01-03","194","148.2","193.4","66.7","3.24","100.7","22"
"2015-01-04","218","173.8","224.9","74.8","3.67","119.6","26"
"2015-01-05","155","106.6","156.4","57.2","2.887","70","69"
"2015-01-06","53","34.2","51.2","22.2","0.803","40.1","58"
"2015-01-07","85","61.8","89.1","38.1","1.769","64","40"
"2015-01-08","163","124.1","151","49.4","2.978","91.9","15"
"2015-01-09","99","73.3","92.8","32.3","1.568","61.3","64"
"2015-01-10","191","146.7","174.3","54.8","2.805","94.5","48"
"2015-01-11","56","37.3","55","18","0.892","46.5","50"
"2015-01-12","154","116.9","146","43","2.176","72.2","37"
"2015-01-13","203","155.8","183.3","54","2.81","91.8","21"
"2015-01-14","265","213.9","250.8","54.1","3.085","100.3","7"
"2015-01-15","373","328.3","375.5","34.3","4.725","111.4","7"
"2015-01-16","138","111.9","119.5","9.2","1.633","41.8","68"
"2015-01-17","83","59.5","71.3","29.5","1.198","57.2","44"
"2015-01-18","112","68.4","109.7","29.9","1.488","51.6","77"
"2015-01-19","66","42.9","73.7","25","1.285","58.7","59"
"2015-01-20","112","84.1","107.6","43.8","1.992","74.5","34"
"2015-01-21","33","19.1","23.4","15.8","0.633","32.2","68"
"2015-01-22","129","97.7","120.6","39.1","2.001","79.6","45"
"2015-01-23","257","206.1","232.7","61.4","3.558","120.9","20"
"2015-01-24","130","95.7","145.1","33","1.995","69.8","34"
"2015-01-25","175","134.3","99.6","15.6","1.741","60.5","37"
"2015-01-26","136","102.3","106.5","10.9","1.665","42.7","64"
"2015-01-27","33","16.9","28","14.3","0.618","29.2","60"
"2015-01-28","52","36.7","47.4","21.3","1.035","49.3","49"
"2015-01-29","89","62.6","77.2","21.9","1.197","41.3","68"
"2015-01-30","28","11.6","21.4","12.3","0.527","25.6","70"
"2015-01-31","43","29.5","42","19","0.838","42.5","59"
"2015-02-01","103","76.6","98.5","40.8","1.899","67.3","35"
"2015-02-02","184","139.2","155.7","56.5","2.459","86.7","26"
"2015-02-03","156","117.4","78.7","28.8","1.907","61","80"
"2015-02-04","37","10.5","32.3","9.2","0.377","19.8","73"
